Longitude,Latitude,UTC-Time,No of satellites
-122.40984333,37.77549866,04hrs 19min 43sec,07
-122.40984333,37.77549866,04hrs 19min 43sec,07
-122.40984333,37.77549866,04hrs 19min 43sec,07
-122.40984333,37.77549866,04hrs 19min 43sec,07
-122.40984333,37.77549866,04hrs 19min 43sec,07
-122.40984333,37.77549866,04hrs 19min 43sec,07
-122.40984333,37.77549866,04hrs 19min 43sec,07
-122.40984333,37.77549883,04hrs 19min 44sec,07
-122.40984333,37.77549883,04hrs 19min 44sec,07
-122.40984333,37.77549883,04hrs 19min 44sec,07
-122.40984333,37.77549883,04hrs 19min 44sec,07
-122.40984333,37.77549883,04hrs 19min 44sec,07
-122.40984333,37.77549883,04hrs 19min 44sec,07
-122.40984333,37.77549883,04hrs 19min 44sec,07
-122.40984333,37.77549883,04hrs 19min 44sec,07
-122.40984333,37.77549916,04hrs 19min 45sec,07
-122.40984333,37.77549916,04hrs 19min 45sec,07
-122.40984333,37.77549916,04hrs 19min 45sec,07
-122.40984333,37.77549916,04hrs 19min 45sec,07
-122.40984333,37.77549916,04hrs 19min 45sec,07
-122.40984333,37.77549916,04hrs 19min 45sec,07
-122.40984333,37.77549916,04hrs 19min 45sec,07
-122.40984333,37.77549916,04hrs 19min 45sec,07
-122.40984166,37.77549966,04hrs 19min 46sec,07
-122.40984166,37.77549966,04hrs 19min 46sec,07
-122.40984166,37.77549966,04hrs 19min 46sec,07
-122.40984166,37.77549966,04hrs 19min 46sec,07
-122.40984166,37.77549966,04hrs 19min 46sec,07
-122.40984166,37.77549966,04hrs 19min 46sec,07
-122.40984166,37.77549966,04hrs 19min 46sec,07
-122.40984166,37.77549966,04hrs 19min 46sec,07
-122.40984166,37.77550016,04hrs 19min 47sec,07
-122.40984166,37.77550016,04hrs 19min 47sec,07
-122.40984166,37.77550016,04hrs 19min 47sec,07
-122.40984166,37.77550016,04hrs 19min 47sec,07
-122.40984166,37.77550016,04hrs 19min 47sec,07
-122.40984166,37.77550016,04hrs 19min 47sec,07
-122.40984166,37.77550016,04hrs 19min 47sec,07
-122.40984166,37.77550016,04hrs 19min 47sec,07
-122.40984166,37.77550133,04hrs 19min 48sec,07
-122.40984166,37.77550133,04hrs 19min 48sec,07
-122.40984166,37.77550133,04hrs 19min 48sec,06
-122.40984166,37.77550133,04hrs 19min 48sec,06
-122.40984166,37.77550133,04hrs 19min 48sec,06
-122.40984166,37.77550133,04hrs 19min 48sec,06
-122.40984166,37.77550133,04hrs 19min 48sec,06
-122.40984166,37.77550133,04hrs 19min 48sec,06
-122.40984,37.77550150,04hrs 19min 49sec,06
-122.40984,37.77550150,04hrs 19min 49sec,06
-122.40984,37.77550150,04hrs 19min 49sec,06
-122.40984,37.77550150,04hrs 19min 49sec,06
-122.40984,37.77550150,04hrs 19min 49sec,06
-122.40984,37.77550150,04hrs 19min 49sec,06
-122.40984,37.77550150,04hrs 19min 49sec,06
-122.40984,37.77550150,04hrs 19min 49sec,06
-122.40984,37.77550233,04hrs 19min 50sec,06
-122.40984,37.77550233,04hrs 19min 50sec,06
-122.40984,37.77550233,04hrs 19min 50sec,06
-122.40984,37.77550233,04hrs 19min 50sec,06
-122.40984,37.77550233,04hrs 19min 50sec,06
-122.40984,37.77550233,04hrs 19min 50sec,06
-122.40984,37.77550233,04hrs 19min 50sec,06
-122.40984,37.77550233,04hrs 19min 50sec,06
-122.40984,37.77550266,04hrs 19min 51sec,06
-122.40984,37.77550266,04hrs 19min 51sec,06
-122.40984,37.77550266,04hrs 19min 51sec,06
-122.40984,37.77550266,04hrs 19min 51sec,06
-122.40984,37.77550266,04hrs 19min 51sec,06
-122.40984,37.77550266,04hrs 19min 51sec,06
-122.40984,37.77550266,04hrs 19min 51sec,06
-122.40984,37.77550266,04hrs 19min 51sec,06
-122.40984,37.775503,04hrs 19min 52sec,06
-122.40984,37.775503,04hrs 19min 52sec,06
-122.40984,37.775503,04hrs 19min 52sec,06
-122.40984,37.775503,04hrs 19min 52sec,06
-122.40984,37.775503,04hrs 19min 52sec,06
-122.40984,37.775503,04hrs 19min 52sec,06
-122.40984,37.775503,04hrs 19min 52sec,06
-122.40984,37.775503,04hrs 19min 52sec,06
-122.40984,37.775503,04hrs 19min 53sec,06
-122.40984,37.775503,04hrs 19min 53sec,06
-122.40984,37.775503,04hrs 19min 53sec,06
-122.40984,37.775503,04hrs 19min 53sec,06
-122.40984,37.775503,04hrs 19min 53sec,06
-122.40984,37.775503,04hrs 19min 53sec,06
-122.40984,37.775503,04hrs 19min 53sec,06
-122.40984,37.775503,04hrs 19min 53sec,06
-122.40984166,37.775503,04hrs 19min 54sec,06
-122.40984166,37.775503,04hrs 19min 54sec,06
-122.40984166,37.775503,04hrs 19min 54sec,06
-122.40984166,37.775503,04hrs 19min 54sec,06
-122.40984166,37.775503,04hrs 19min 54sec,06
-122.40984166,37.775503,04hrs 19min 54sec,06
-122.40984166,37.775503,04hrs 19min 54sec,06
-122.40984166,37.775503,04hrs 19min 54sec,06
-122.40984166,37.77550316,04hrs 19min 55sec,06
-122.40984166,37.77550316,04hrs 19min 55sec,06
-122.40984166,37.77550316,04hrs 19min 55sec,06
-122.40984166,37.77550316,04hrs 19min 55sec,06
-122.40984166,37.77550316,04hrs 19min 55sec,06
-122.40984166,37.77550316,04hrs 19min 55sec,06
-122.40984166,37.77550316,04hrs 19min 55sec,06
-122.40984166,37.77550316,04hrs 19min 55sec,06
-122.40984166,37.77550366,04hrs 19min 56sec,06
-122.40984166,37.77550366,04hrs 19min 56sec,06
-122.40984166,37.77550366,04hrs 19min 56sec,06
-122.40984166,37.77550366,04hrs 19min 56sec,06
-122.40984166,37.77550366,04hrs 19min 56sec,06
-122.40984166,37.77550366,04hrs 19min 56sec,06
-122.40984166,37.77550366,04hrs 19min 56sec,06
-122.40984166,37.77550366,04hrs 19min 56sec,06
-122.40984,37.77550483,04hrs 19min 57sec,06
-122.40984,37.77550483,04hrs 19min 57sec,06
-122.40984,37.77550483,04hrs 19min 57sec,06
-122.40984,37.77550483,04hrs 19min 57sec,06
-122.40984,37.77550483,04hrs 19min 57sec,06
-122.40984,37.77550483,04hrs 19min 57sec,06
-122.40984,37.77550483,04hrs 19min 57sec,06
-122.40984,37.77550483,04hrs 19min 57sec,06
-122.40984166,37.77550466,04hrs 19min 58sec,06
-122.40984166,37.77550466,04hrs 19min 58sec,06
-122.40984166,37.77550466,04hrs 19min 58sec,06
-122.40984166,37.77550466,04hrs 19min 58sec,06
-122.40984166,37.77550466,04hrs 19min 58sec,06
-122.40984166,37.77550466,04hrs 19min 58sec,06
-122.40984166,37.77550466,04hrs 19min 58sec,06
-122.40984166,37.77550466,04hrs 19min 58sec,06
-122.40983833,37.77550483,04hrs 19min 59sec,06
-122.40983833,37.77550483,04hrs 19min 59sec,06
-122.40983833,37.77550483,04hrs 19min 59sec,06
-122.40983833,37.77550483,04hrs 19min 59sec,06
-122.40983833,37.77550483,04hrs 19min 59sec,06
-122.40983833,37.77550483,04hrs 19min 59sec,06
-122.40983833,37.77550483,04hrs 19min 59sec,06
-122.40983833,37.77550483,04hrs 19min 59sec,06
-122.40983833,37.77550466,04hrs 20min 00sec,06
-122.40983833,37.77550466,04hrs 20min 00sec,06
-122.40983833,37.77550466,04hrs 20min 00sec,06
-122.40983833,37.77550466,04hrs 20min 00sec,06
-122.40983833,37.77550466,04hrs 20min 00sec,06
-122.40983833,37.77550466,04hrs 20min 00sec,06
-122.40983833,37.77550466,04hrs 20min 00sec,06
-122.40983833,37.77550466,04hrs 20min 00sec,06
